account_id,account_name,industry,region,tier,arr_usd,csm_owner,created_date
ACC-1001,Silva Hedge Fund,Investment Bank,Americas,Enterprise,50000,Omar Novak,2022-10-19
ACC-1002,Reyes Hedge Fund,Hedge Fund,Americas,Enterprise,25000,Omar Haddad,2023-01-20
ACC-1003,Reyes Prop Trading Firm,Family Office,APAC,Enterprise,25000,Liam Reyes,2024-03-15
ACC-1004,Nguyen Broker-Dealer,Prop Trading Firm,EMEA,Strategic,400000,Wei Costa,2024-03-07
ACC-1005,Osei Investment Bank,Hedge Fund,APAC,Enterprise,50000,Fatima Novak,2023-01-06
ACC-1006,Okafor Regional Bank,Prop Trading Firm,APAC,Strategic,120000,Raj Novak,2024-10-21
ACC-1007,Silva Pension Fund,Investment Bank,EMEA,Mid-Market,250000,Liam Costa,2024-02-13
ACC-1008,Haddad Investment Bank,Asset Manager,APAC,Mid-Market,120000,Liam Larsen,2023-12-25
ACC-1009,Nguyen Prop Trading Firm,Regional Bank,Americas,Enterprise,25000,Yuki Sato,2024-08-10
ACC-1010,Novak Prop Trading Firm,Regional Bank,Americas,Mid-Market,400000,Anya Kim,2024-08-16
ACC-1011,Kim Prop Trading Firm,Investment Bank,APAC,Enterprise,400000,Mateo Muller,2025-05-02
ACC-1012,Abbas Family Office,Asset Manager,Americas,Mid-Market,75000,Liam Reyes,2022-10-07
ACC-1013,Novak Pension Fund,Pension Fund,APAC,Mid-Market,180000,Omar Chen,2025-06-20
ACC-1014,Duarte Investment Bank,Regional Bank,Americas,Enterprise,75000,Anya Chen,2024-08-19
ACC-1015,Abbas Broker-Dealer,Asset Manager,APAC,Enterprise,120000,Sofia Costa,2025-03-16
ACC-1016,Duarte Hedge Fund,Regional Bank,EMEA,Strategic,250000,Raj Muller,2025-10-14
ACC-1017,Muller Asset Manager,Asset Manager,APAC,Enterprise,50000,Omar Kim,2025-05-23
ACC-1018,Bianchi Broker-Dealer,Investment Bank,APAC,Mid-Market,400000,Noor Duarte,2024-12-25
ACC-1019,Okafor Pension Fund,Regional Bank,EMEA,Mid-Market,600000,Wei Muller,2024-11-06
ACC-1020,Novak Regional Bank,Hedge Fund,APAC,Enterprise,120000,Alex Novak,2022-07-28
ACC-1021,Patel Prop Trading Firm,Asset Manager,Americas,Mid-Market,50000,Nina Muller,2024-07-19
