opp_id,account_id,product,stage,amount_usd,owner,created_date,close_date,loss_reason,days_since_last_activity
OPP-2001,ACC-1055,FlexAnalytics,Closed Won,90000,Alex Costa,2025-10-08,2026-05-28,,24
OPP-2002,ACC-1055,FlexConnect API,Closed Won,250000,Omar Osei,2025-12-27,2026-07-07,,31
OPP-2003,ACC-1015,FlexOMS,Qualification,90000,Yuki Sato,2025-11-23,,,10
OPP-2004,ACC-1054,FlexConnect API,Proposal Sent,150000,Alex Sato,2026-05-25,,,37
OPP-2005,ACC-1037,FlexAnalytics,Negotiation,30000,Anya Rossi,2026-06-17,,,3
OPP-2006,ACC-1017,FlexAnalytics,Needs Analysis,60000,Yuki Sato,2026-04-12,,,17
OPP-2007,ACC-1049,FlexAlgo Suite,Closed Lost,15000,Sam Chen,2025-12-26,2026-10-01,,14
OPP-2008,ACC-1042,FlexOMS,Prospecting,15000,Carlos Haddad,2025-08-30,,,1
OPP-2009,ACC-1040,FlexAnalytics,Qualification,250000,Wei Weiss,2026-05-26,,,13
OPP-2010,ACC-1030,FlexEMS,Negotiation,150000,Theo Silva,2026-01-22,,,10
OPP-2011,ACC-1020,FlexAlgo Suite,Prospecting,150000,Fatima Sato,2026-07-16,,,45
OPP-2012,ACC-1013,FlexEMS,Prospecting,15000,Raj Osei,2025-08-10,,,7
OPP-2013,ACC-1051,FlexAlgo Suite,Closed Lost,150000,Lucas Costa,2026-07-08,2026-09-22,,0
OPP-2014,ACC-1055,FlexOMS,Needs Analysis,90000,Mateo Larsen,2025-11-21,,,45
OPP-2015,ACC-1010,FlexAlgo Suite,Needs Analysis,150000,Omar Bianchi,2025-11-04,,,29
OPP-2016,ACC-1028,FlexAlgo Suite,Closed Won,60000,Carlos Novak,2025-09-29,2026-06-07,,28
OPP-2017,ACC-1016,FlexConnect API,Closed Won,250000,Fatima Ivanov,2025-10-11,2026-10-13,,31
OPP-2018,ACC-1055,FlexEMS,Needs Analysis,60000,Emma Ivanov,2025-11-22,,,17
OPP-2019,ACC-1057,FlexConnect API,Proposal Sent,15000,Nina Haddad,2026-03-10,,,5
OPP-2020,ACC-1016,FlexConnect API,Closed Won,30000,Sam Bianchi,2025-11-21,2026-03-12,,1
OPP-2021,ACC-1006,FlexEMS,Qualification,60000,Grace Costa,2026-01-03,,,30
OPP-2022,ACC-1036,FlexConnect API,Proposal Sent,60000,Mateo Larsen,2025-12-24,,,17
OPP-2023,ACC-1020,FlexEMS,Qualification,60000,Wei Duarte,2026-05-29,,,44
OPP-2024,ACC-1012,FlexAlgo Suite,Qualification,250000,Grace Abbas,2025-11-24,,,38
OPP-2025,ACC-1019,FlexAlgo Suite,Closed Lost,30000,Mateo Rossi,2026-04-21,2026-05-26,Budget constraints,45
OPP-2026,ACC-1035,FlexOMS,Prospecting,150000,Raj Kim,2026-07-06,,,40
